No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
721,BKK,BlackRock Municipal 2020 Term Trust,Financial,Closed-End Fund - Debt,USA,305.37,359.29,15.11,0.13%,73138
723,BKN,BlackRock Investment Quality Municipal Trust Inc.,Financial,Closed-End Fund - Debt,USA,248.34,48.82,14.24,-1.45%,33017
724,BKNG,Booking Holdings Inc.,Services,Business Services,USA,100900.98,26.7,2082.69,-0.20%,178972
725,BKS,"Barnes & Noble, Inc.",Services,"Specialty Retail, Other",USA,436.8,,5.47,4.29%,1032152
726,BKSC,Bank of South Carolina Corporation,Financial,Regional - Mid-Atlantic Banks,USA,115.29,19.24,20.89,1.68%,180
727,BKT,"BlackRock Income Trust, Inc.",Financial,Closed-End Fund - Debt,USA,372.13,583,5.82,-0.10%,78550
728,BKTI,"BK Technologies, Inc.",Technology,Communication Equipment,USA,52.61,,3.95,0.00%,3166
729,BKU,"BankUnited, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,4417.74,7.29,42.86,2.22%,418419
730,BKYI,"BIO-key International, Inc.",Services,Security & Protection Services,USA,29.99,,2.58,1.18%,18846
731,BL,"BlackLine, Inc.",Technology,Application Software,USA,2390.93,,44.86,-0.71%,181293
732,BLBD,Blue Bird Corporation,Consumer Goods,Auto Manufacturers - Major,USA,608.76,32.52,23.25,1.97%,47652
733,BLCM,"Bellicum Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,336.09,,8.36,0.12%,184282
735,BLD,TopBuild Corp.,Industrial Goods,General Building Materials,USA,2812.21,25.89,81.34,1.03%,96018
736,BLDP,Ballard Power Systems Inc.,Industrial Goods,Industrial Electrical Equipment,Canada,503.4,,2.88,0.35%,303740
737,BLDR,"Builders FirstSource, Inc.",Industrial Goods,General Building Materials,USA,2106.78,24.33,18.74,2.83%,379720
738,BLE,BlackRock Municipal Income Trust II,Financial,Asset Management,USA,328.01,21.99,13.86,-0.57%,38780
740,BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,USA,252.24,,16.6,-2.47%,566001
743,BLIN,"Bridgeline Digital, Inc.",Technology,Application Software,USA,4.8,,1.32,3.90%,413787
744,BLK,"BlackRock, Inc.",Financial,Asset Management,USA,78690.07,20.04,504.47,2.60%,477119
745,BLKB,"Blackbaud, Inc.",Technology,Business Software & Services,USA,5036.49,99.7,110.84,1.34%,232515
746,BLL,Ball Corporation,Consumer Goods,Packaging & Containers,USA,12912.43,25.5,37.08,0.56%,1918495
747,BLMN,"Bloomin' Brands, Inc.",Services,Restaurants,USA,1806.47,15.39,19.93,2.00%,1159204
748,BLMT,"BSB Bancorp, Inc.",Financial,Money Center Banks,USA,342.06,16.88,35.5,0.57%,3491
749,BLNK,Blink Charging Co.,Services,Business Services,USA,96.4,,4.13,9.55%,508334
751,BLPH,"Bellerophon Therapeutics, Inc.",Healthcare,Biotechnology,USA,144.2,,2.73,6.64%,217306
752,BLRX,BioLineRx Ltd.,Healthcare,Biotechnology,Israel,86.63,,0.95,4.91%,570894
753,BLUE,"bluebird bio, Inc.",Healthcare,Biotechnology,USA,8484.41,,172.35,1.41%,452177
755,BLW,BlackRock Limited Duration Income Trust,Financial,Closed-End Fund - Debt,USA,548.23,16.18,14.87,0.20%,64011
756,BLX,"Banco Latinoamericano de Comercio Exterior, S.A",Financial,Foreign Money Center Banks,Panama,981.82,13.48,25.17,0.52%,38661
757,BMA,Banco Macro S.A.,Financial,Foreign Regional Banks,Argentina,4389.73,11.4,68.75,3.77%,300830
758,BMCH,"BMC Stock Holdings, Inc.",Industrial Goods,General Building Materials,USA,1408.57,21.91,21.58,1.29%,153108
760,BMI,"Badger Meter, Inc.",Technology,Scientific & Technical Instruments,USA,1329.17,39.35,46.4,0.43%,33787
762,BMO,Bank of Montreal,Financial,Money Center Banks,Canada,50179.06,13.12,78.52,0.73%,266211
763,BMRA,"Biomerica, Inc.",Healthcare,Medical Instruments & Supplies,USA,34.38,,4.08,0.77%,4982
764,BMRC,Bank of Marin Bancorp,Financial,Regional - Pacific Banks,USA,566.29,25.73,84.53,2.40%,2003
765,BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology,USA,16692.68,,99.36,1.12%,951429
766,BMS,"Bemis Company, Inc.",Consumer Goods,Packaging & Containers,USA,3843.67,180.68,42.58,0.70%,270801
767,BMTC,Bryn Mawr Bank Corporation,Financial,Regional - Mid-Atlantic Banks,USA,948.42,19.51,48.25,1.90%,23818
768,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,92362.48,24.36,56.57,0.02%,2583718
769,BNCL,"Beneficial Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,1227.35,30.88,16.77,1.31%,34038
773,BNED,"Barnes & Noble Education, Inc.",Services,"Specialty Retail, Other",USA,251.91,,5.41,0.09%,178664
774,BNFT,"Benefitfocus, Inc.",Technology,Application Software,USA,1081.38,,35.2,-2.09%,43689
776,BNS,The Bank of Nova Scotia,Financial,Money Center Banks,Canada,69754.01,10.96,57.43,0.24%,649644
777,BNSO,Bonso Electronics International Inc.,Industrial Goods,Industrial Electrical Equipment,Hong Kong,16.9,7.69,3.33,-2.06%,610
778,BNTC,Benitec Biopharma Limited,Healthcare,Biotechnology,Australia,452.34,,3.46,56.92%,4205537
780,BOCH,Bank of Commerce Holdings,Financial,Regional - Mid-Atlantic Banks,USA,207.04,19.11,12.94,0.33%,8079
782,BOFI,"BofI Holding, Inc.",Financial,Savings & Loans,USA,2584,17.55,43.09,2.89%,348937
783,BOH,Bank of Hawaii Corporation,Financial,Regional - Pacific Banks,USA,3554.07,18.58,86.12,1.94%,64376
785,BOJA,"Bojangles', Inc.",Services,Restaurants,USA,539.08,19.76,14.95,0.34%,72117
786,BOKF,BOK Financial Corporation,Financial,Regional - Southwest  Banks,USA,6140.43,17.24,97.6,2.00%,126266
787,BOLD,"Audentes Therapeutics, Inc.",Healthcare,Biotechnology,USA,1467.52,,39.42,-0.10%,101193
789,BOMN,Boston Omaha Corporation,Conglomerates,Conglomerates,USA,419.36,,22.74,1.02%,45449
791,BOOM,DMC Global Inc.,Industrial Goods,Metal Fabrication,USA,671.41,,46.78,1.57%,97213
793,BOOT,"Boot Barn Holdings, Inc.",Services,Apparel Stores,USA,594.89,29.44,23.52,0.86%,539065
794,BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,31.38,1.18,1.24,1.65%,5916
795,BOSC,B.O.S Better Online Solutions Ltd.,Technology,Communication Equipment,Israel,8.2,9.88,2.42,-3.28%,52726
797,BOTJ,"Bank of the James Financial Group, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,70.06,17.25,16,-2.25%,580
799,BOX,"Box, Inc.",Technology,Application Software,USA,3547.2,,26.52,1.45%,1918814
800,BOXL,Boxlight Corporation,Technology,Communication Equipment,USA,47.6,,4.17,-6.61%,88830
801,BP,BP p.l.c.,Basic Materials,Major Integrated Oil & Gas,United Kingdom,153372.52,29,46.56,1.35%,4202995
802,BPFH,"Boston Private Financial Holdings, Inc.",Financial,Regional - Northeast Banks,USA,1351.76,26.48,16.38,1.71%,158784
803,BPI,"Bridgepoint Education, Inc.",Services,Education & Training Services,USA,181.11,12.64,6.61,0.92%,102728
804,BPK,Blackrock Municipal 2018 Term T,Financial,Closed-End Fund - Debt,USA,238.65,59.76,14.99,-0.07%,11700
805,BPL,"Buckeye Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,5086.93,10.69,34.27,-0.44%,586860
806,BPMC,Blueprint Medicines Corporation,Healthcare,Biotechnology,USA,2932.71,,66.03,-1.61%,277136
807,BPMP,BP Midstream Partners LP,Basic Materials,Independent Oil & Gas,USA,2233.3,59.66,21.34,0.21%,28796
808,BPMX,BioPharmX Corporation,Healthcare,Biotechnology,USA,42.9,,0.22,0.09%,1464830
809,BPOP,"Popular, Inc.",Financial,Foreign Regional Banks,USA,4683.1,17.31,46.58,1.15%,423512
810,BPT,BP Prudhoe Bay Royalty Trust,Basic Materials,Oil & Gas Refining & Marketing,USA,655.91,7.99,29.95,-2.28%,652269
811,BPTH,"Bio-Path Holdings, Inc.",Healthcare,Drug Delivery,USA,17.1,,1.58,0.00%,6532
812,BPY,Brookfield Property Partners L.P.,Financial,Real Estate Development,Bermuda,4840.32,14.23,19.53,-0.15%,201654
813,BQH,BlackRock New York Municipal Bond Trust,Financial,Closed-End Fund - Debt,USA,36.79,23.34,13.15,0.08%,100
814,BR,"Broadridge Financial Solutions, Inc.",Technology,Information & Delivery Services,USA,13703.99,32.96,117.09,0.43%,230848
815,BRAC,Black Ridge Acquisition Corp.,Conglomerates,Conglomerates,USA,42.54,,9.76,0.00%,0
816,BRC,Brady Corporation,Technology,Security Software & Services,USA,2010.29,20.18,39.13,0.19%,55972
817,BREW,"Craft Brew Alliance, Inc.",Consumer Goods,Beverages - Brewers,USA,401.7,88.94,20.67,-1.08%,21947
819,BRFS,BRF S.A.,Consumer Goods,Meat Products,Brazil,4850.62,,6.16,3.01%,3708606
820,BRG,"Bluerock Residential Growth REIT, Inc.",Financial,REIT - Residential,USA,213.54,,8.96,-1.65%,71479
821,BRID,Bridgford Foods Corporation,Consumer Goods,Meat Products,USA,129.36,11.3,14.2,1.43%,3932
823,BRK-B,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,462704.89,11.64,189.35,0.96%,2089254
824,BRKL,"Brookline Bancorp, Inc.",Financial,Savings & Loans,USA,1509.93,22.54,19.08,0.39%,262278
825,BRKR,Bruker Corporation,Healthcare,Medical Laboratories & Research,USA,4524.85,30.11,29.59,1.09%,185576
826,BRKS,"Brooks Automation, Inc.",Technology,Semiconductor Equipment & Materials,USA,2416.27,20.7,35.07,1.92%,271244
827,BRN,"Barnwell Industries, Inc.",Basic Materials,Independent Oil & Gas,USA,20.4,,1.97,-3.79%,26867
828,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,7707.22,16.3,28.75,1.59%,399143
829,BRPA,Big Rock Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,89.54,,9.91,0.00%,0
830,BRPAU,Big Rock Partners Acquisition Corp. Units,Conglomerates,Conglomerates,USA,95.82,,10.6,0.00%,0
831,BRQS,"Borqs Technologies, Inc.",Technology,Application Software,China,167.48,,5.25,0.00%,0
832,BRS,Bristow Group Inc.,Basic Materials,Oil & Gas Equipment & Services,USA,503.34,,14.44,1.48%,287619
833,BRSS,"Global Brass and Copper Holdings, Inc.",Industrial Goods,Metal Fabrication,USA,710.24,12.65,32.65,0.31%,17740
834,BRT,BRT Apartments Corp.,Financial,Mortgage Investment,USA,189.36,5.68,13.61,2.56%,154797
835,BRX,Brixmor Property Group Inc.,Financial,REIT - Retail,USA,5299.49,18.38,17.22,-1.26%,1610253
837,BSAC,Banco Santander-Chile,Financial,Money Center Banks,Chile,14970.81,17.04,31.88,0.85%,427821
838,BSBR,Banco Santander (Brasil) S.A.,Financial,Foreign Regional Banks,Brazil,28860.79,11.56,7.7,0.79%,489278
849,BSD,BlackRock Strategic Municipal Trust,Financial,Closed-End Fund - Debt,USA,92.45,38.1,12.65,0.00%,9924
851,BSET,"Bassett Furniture Industries, Incorporated",Consumer Goods,Home Furnishings & Fixtures,USA,300.56,19.86,27.65,0.00%,31000
852,BSIG,BrightSphere Investment Group plc,Financial,Asset Management,United Kingdom,1572.01,9.77,14.69,1.24%,213468
862,BSM,"Black Stone Minerals, L.P.",Basic Materials,Independent Oil & Gas,USA,3690.4,27.61,18.28,0.77%,66056
864,BSPM,"Biostar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,China,6,6.03,2.39,0.42%,20330
865,BSQR,BSQUARE Corporation,Technology,Application Software,USA,32.4,,2.6,0.00%,10984
866,BSRR,Sierra Bancorp,Financial,Regional - Pacific Banks,USA,438.49,17.53,29.48,1.59%,26441
867,BST,BlackRock Science and Technology Trust,Financial,Closed-End Fund - Equity,USA,738.42,3.7,34,3.09%,90754
868,BSTC,BioSpecifics Technologies Corp.,Healthcare,Biotechnology,USA,323.08,26.29,46.99,0.06%,27969
869,BSTI,BEST Inc.,Technology,Application Software,China,4527.72,,11.43,-3.22%,627809
871,BSX,Boston Scientific Corporation,Healthcare,Medical Appliances & Equipment,USA,46264.17,48.43,33.71,0.28%,2068004
872,BT,BT Group plc,Technology,Diversified Communication Services,United Kingdom,30060.03,11.45,15.43,0.16%,766324
873,BTA,BlackRock Long-Term Municipal Advantage Trust,Financial,Closed-End Fund - Debt,USA,150.93,28.72,11.21,-0.18%,9930
874,BTAI,"BioXcel Therapeutics, Inc.",Healthcare,Biotechnology,USA,141.55,,11.06,12.51%,30364
876,BTE,Baytex Energy Corp.,Basic Materials,Independent Oil & Gas,Canada,803.47,,3.41,0.29%,1452822
878,BTG,B2Gold Corp.,Basic Materials,Gold,Canada,2487.1,43.79,2.5,-1.57%,1163204
879,BTI,British American Tobacco p.l.c.,Consumer Goods,Cigarettes,United Kingdom,119304.74,3.09,52.22,0.84%,1161686
880,BTN,"Ballantyne Strong, Inc",Consumer Goods,Photographic Equipment & Supplies,USA,74.31,,5.4,3.85%,1749
881,BTO,John Hancock Financial Opportunities Fund,Financial,Closed-End Fund - Equity,USA,701.53,10.95,38.21,1.58%,43805
882,BTT,Blackrock Municipal 2030 Target Term Trust,Financial,Closed-End Fund - Debt,USA,1526.29,11.85,21.53,-0.19%,102146
883,BTU,Peabody Energy Corporation,Basic Materials,Industrial Metals & Minerals,USA,5633.74,12.79,45.56,0.62%,343556
884,BTX,"BioTime, Inc.",Healthcare,Biotechnology,USA,268.99,,2.14,-1.83%,269903
885,BTZ,BlackRock Credit Allocation Income Trust,Financial,Closed-End Fund - Debt,USA,1308.9,11.03,12.16,0.00%,148148
886,BUD,Anheuser-Busch InBev SA/NV,Consumer Goods,Beverages - Brewers,Belgium,172073.26,27.43,103.88,0.04%,724807
888,BURG,"Chanticleer Holdings, Inc.",Services,Restaurants,USA,11.8,,3.15,-1.25%,12948
889,BURL,"Burlington Stores, Inc.",Services,"Discount, Variety Stores",USA,10152.91,32.58,150.49,-0.42%,336062
